isTestnet,nativeChainId,chainKey,chainName,environment,chainLayer,chainStack,currency,decimals,cgId,cmcId,eid,endpointV2,endpointV2View,executor,lzExecutor,sendUln302,receiveUln302,blockedMessageLib
true,240,cronoszkevm-testnet,cronoszkevm,testnet,2,0,zkCRO,18,cronos-zkevm-cro,,40360,0x9EC2DB700a3c3D35888acCa134F3f860B4a0b41a,0xC29f0C76E85723ecFbF50D6cbE1ABEac451D0661,0xe2Ef622A13e71D9Dd2BBd12cd4b27e1516FA8a09,0x2DCC8cFb612fDbC0Fb657eA1B51A6F77b8b86448,0x0e2c52BC2e119b1919e68f4F1874D4d30F6eF9fB,0x5f04B588B9408d8d5F4ac250e8c71986683C35A5,0x25aa15242c9d94526f2844e7c03c5a40e8a79256
true,296,hedera-testnet,hedera,testnet,1,0,HBAR,8,hedera-hashgraph,4642,40285,0xbD672D1562Dd32C23B563C989d8140122483631d,0x19D1198b0f43Ec076a897bF98dEb0FD1D6CE8B9f,0xe514D331c54d7339108045bF4794F8d71cad110e,0x4C88bA56a20A77E72F809F08fFD87e8bb6a87dF7,0x1707575f7cecdc0ad53fde9ba9bda3ed5d4440f4,0xc0c34919A04d69415EF2637A3Db5D637a7126cd0,0xeee3044f72093d25f70dc6c684fbb0c81dde62d1
true,300,zksync-sepolia,zksyncsep,testnet,2,0,ETH,18,ethereum,1027,40305,0xe2Ef622A13e71D9Dd2BBd12cd4b27e1516FA8a09,0x2DCC8cFb612fDbC0Fb657eA1B51A6F77b8b86448,0x6E9bcFCbEdb7d1298E66cdE81ed9f39b1e12f935,0x07246FE876b4d283CA0Ca06A4144d6e160aCC739,0xaF862837316E00d2708Bd648c5FE87EdC7093799,0x5c123dB6f87CC0d7e320C5CC9EaAfD336B5f6eF3,0x9493a593f5ee4da6a18003783a71936243ebc04f
true,335,dfk-testnet,dfk,testnet,1,3,JEWEL,18,defi-kingdoms,12319,40115,0x94FF3a4d9E9792dc59193ff753B5038A14c59570,0xC0B1B3c66fEA930A504113C133Af5a040fc8F50A,0x1b3649C2C06F1fb0d3e57FB001c8B592f5E3CAc6,0x2b4875BF114052e808CBD8498635F528c7d50C93,0xd45316d099dC4f3B15f2462888D62D919bc07a61,0x5709988a03d1CC02197F222D2C72CcC6018bCE0B,0xbddcf3fa3c748d54ba7f75f3006342ee98953399
true,338,cronosevm-testnet,cronosevm,testnet,1,0,CRO,18,,3635,40359,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,478,form-testnet,form,testnet,1,0,ETH,18,ethereum,1027,40270,0x6EDCE65403992e310A62460808c4b910D972f10f,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x12523de19dc41c91F7d2093E0CFbB76b17012C8d,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x45841dd1ca50265Da7614fC43A361e526c0e6160,0xd682ECF100f6F4284138AA925348633B0611Ae21,
true,545,flow-testnet,flow,testnet,2,0,FLOW,18,,4558,40351,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,901,lyra-testnet,lyra,testnet,2,1,ETH,18,ethereum,1027,40308,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,919,mode-testnet,mode,testnet,2,1,ETH,18,ethereum,1027,40260,0x6EDCE65403992e310A62460808c4b910D972f10f,0xd682ECF100f6F4284138AA925348633B0611Ae21,0x9dB9Ca3305B48F196D18082e91cB64663b13d014,0xe1a12515F9AB2764b887bF60B923Ca494EBbB2d6,0x00C5C0B8e0f75aB862CbAaeCfff499dB555FBDD2,0x1d186C560281B8F1AF831957ED5047fD3AB902F9,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,945,subtensorevm-testnet,subtensorevm,testnet,1,0,TAO,18,,22974,40377,0x3aCAAf60502791D199a5a5F0B173D78229eBFe32,0x6Ac7bdc07A0583A362F1497252872AE6c0A5F5B8,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0x45841dd1ca50265Da7614fC43A361e526c0e6160,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xa229b65cc2191bf60bc24efcda3487d7b5c0c9f0
true,998,hyperliquid-testnet,hyperliquid,testnet,1,0,HYPE,18,,32196,40362,0xf9e1815F151024bDE4B7C10BAC10e8Ba9F6b53E1,0x386A3922470581155c42282801231762E7343802,0x72e34F44Eb09058bdDaf1aeEebDEC062f1844b00,0x8eB4FBFD3342538d4d2dbb7225eC2000ae1a1C50,0x43E505ba192aaC7BABdC1A796c87844171011684,0x012f6eaE2A0Bf5916f48b5F37C62Bcfb7C1ffdA1,0x25e8806a598df0c7f4c24d3e6efcde0d5ca7787d
true,1001,klaytn-baobab,klaytn,testnet,1,0,KLAY,18,klay-token,4256,40150,0x6EDCE65403992e310A62460808c4b910D972f10f,0x0758019941272bF781a7Cb42D223561A2EdAD1D7,0xddF3266fEAa899ACcf805F4379E5137144cb0A7D,0xAe0549FeF1B77d2D187C867Ad9a5432A9e8381C9,0x6bd925aA58325fba65Ea7d4412DDB2E5D2D9427d,0xFc4eA96c3de3Ba60516976390fA4E945a0b8817B,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,1075,iota-testnet,iota,testnet,1,0,IOTA,18,,1720,40307,0x6C7Ab2202C98C4227C5c46f1417D81144DA716Ff,0x145C041566B21Bec558B2A37F1a5Ff261aB55998,0x701f3927871EfcEa1235dB722f9E608aE120d243,0x4Cf1B3Fa61465c2c907f82fC488B43223BA0CF93,0xd682ECF100f6F4284138AA925348633B0611Ae21,0xcF1B0F4106B0324F96fEfcC31bA9498caa80701C,0x926984a57b10a3a5c4cfdbac04daaa0309e78932
true,1115,coredao-testnet,coredao,testnet,1,0,CORE,18,coredaoorg,23254,40153,0x6EDCE65403992e310A62460808c4b910D972f10f,0xAe0549FeF1B77d2D187C867Ad9a5432A9e8381C9,0x3Bdb89Df44e50748fAed8cf851eB25bf95f37d19,0xcAdCAc879D0CB4258455160c702670e8299300f3,0xc8361Fac616435eB86B9F6e2faaff38F38B0d68C,0xD1bbdB62826eDdE4934Ff3A4920eB053ac9D5569,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
true,1287,moonbase,moonbeam,testnet,1,0,GLMR,18,moonbeam,6836,40126,0x6EDCE65403992e310A62460808c4b910D972f10f,0xbef132Bc69C87f52D173d093A3F8B5B98842275F,0xd10fe0817Ebb477Bc05Df7d503dE9d022B6B0831,0xf2aC82dBc8b6c08BF8f47db164DA2B12f1299763,0x4CC50568EdC84101097E06bCf736918f637e6aB7,0x5468b60ed00F9b389B5Ba660189862Db058D7dC8,0x0c77d8d771ab35e2e184e7ce127f19ced31ff8c0
